# Matrix size   Processor   T1   Tp
# Matrix 100x100
100  1  0.004151  0.004151
100  4  0.004151  0.006356
100  16  0.004151  0.026178
100  25  0.004151  0.042982


# Matrix 200x200
200  1  0.014666  0.014666
200  4  0.014666  0.014360
200  16  0.014666  0.034908
200  25  0.014666  0.066047
200  64  0.014666  0.060967


# Matrix 400x400
400  1  0.094016  0.094016
400  4  0.094016  0.053633
400  16  0.094016  0.080718
400  25  0.094016  0.095045
400  64  0.094016  0.152619


# Matrix 600x600
600  1  0.284122  0.284122
600  4  0.284122  0.124422
600  9  0.284122  0.171600
600  16  0.284122  0.135504
600  25  0.284122  0.168115
600  36  0.284122  0.150739
600  64  0.284122  0.702348


# Matrix 800x800
800  1  0.694167  0.694167
800  4  0.694167  0.277248
800  16  0.694167  0.218701
800  25  0.694167  0.221152
800  64  0.694167  0.288752


# Matrix 1000x1000
1000  1  2.713357  2.713357
1000  4  2.713357  0.468035
1000  16  2.713357  0.333827
1000  25  2.713357  0.346892
1000  64  2.713357  0.409937


# Matrix 1200x1200
1200  1  4.875435  4.875435
1200  4  4.875435  0.817890
1200  9  4.875435  0.613532
1200  16  4.875435  0.586549
1200  25  4.875435  0.476822
1200  36  4.875435  0.445365
1200  64  4.875435  0.529611


# Matrix 1440x1440
1440  1  8.697276  8.697276
1440  4  8.697276  1.407992
1440  9  8.697276  0.930592
1440  16  8.697276  0.771857
1440  25  8.697276  0.830591
1440  36  8.697276  0.612382
1440  64  8.697276  0.730244
